
実行環境: 実画面 (headed) / 90 フレーム

[1] 表示方式 x 解像度 x モード

 backend     grid  cells  mode  steps   fps  render ms  flush ms  cost ms  writes/frame
--------  -------  -----  ----  -----  ----  ---------  --------  -------  ------------
checkbox    64x40   2560     A     16  60.0       0.10      0.20     0.20           196
checkbox    64x40   2560     B     16  60.0       0.00      0.30     0.30           303
checkbox    64x40   2560     C     16  60.0       0.00      0.50     0.60           469
checkbox    96x60   5760     A     16  59.9       0.00      0.30     0.30           438
checkbox    96x60   5760     B     16  58.0       0.00      0.40     0.40           615
checkbox    96x60   5760     C     16  33.7       0.00      0.80     0.90          1022
checkbox   128x80  10240     A     16  58.7       0.10      0.50     0.50           777
checkbox   128x80  10240     B     16  39.0       0.00      0.60     0.70          1029
checkbox   128x80  10240     C     16  17.8       0.10      1.60     1.60          1788
checkbox  160x100  16000     A     16  50.7       0.10      0.70     0.80          1214
checkbox  160x100  16000     B     16  27.7       0.10      1.00     1.00          1545
checkbox  160x100  16000     C     16  10.7       0.10      2.10     2.10          2766
   table    64x40   2560     A     16  60.0       0.00      0.20     0.20           196
   table    64x40   2560     B     16  60.0       0.00      0.30     0.30           303
   table    64x40   2560     C     16  60.0       0.00      0.50     0.50           469
   table    96x60   5760     A     16  60.0       0.00      0.30     0.40           438
   table    96x60   5760     B     16  59.6       0.00      0.40     0.50           615
   table    96x60   5760     C     16  47.3       0.00      1.10     1.10          1022
   table   128x80  10240     A     16  59.9       0.10      0.50     0.60           777
   table   128x80  10240     B     16  43.8       0.00      0.70     0.70          1029
   table   128x80  10240     C     16  24.7       0.00      1.60     1.70          1788
   table  160x100  16000     A     16  52.1       0.10      0.80     0.80          1214
   table  160x100  16000     B     16  25.3       0.10      1.00     1.10          1545
   table  160x100  16000     C     16  16.0       0.10      2.20     2.30          2766

[2] 大きさの段数を変えたとき（B と C のみ）

 backend     grid  cells  mode  steps   fps  render ms  flush ms  cost ms  writes/frame
--------  -------  -----  ----  -----  ----  ---------  --------  -------  ------------
checkbox    96x60   5760     B      1  58.6       0.00      0.40     0.40           548
checkbox    96x60   5760     B      2  59.3       0.00      0.40     0.40           572
checkbox    96x60   5760     B      4  59.3       0.00      0.40     0.40           593
checkbox    96x60   5760     B     16  59.2       0.00      0.40     0.50           615
checkbox    96x60   5760     C      1  47.9       0.00      0.70     0.70           748
checkbox    96x60   5760     C      2  41.3       0.00      0.90     0.90           877
checkbox    96x60   5760     C      4  33.6       0.00      0.90     0.90           884
checkbox    96x60   5760     C     16  32.4       0.00      0.90     0.90          1022
checkbox   128x80  10240     B      1  42.5       0.10      0.60     0.60           948
checkbox   128x80  10240     B      2  43.5       0.10      0.60     0.60           982
checkbox   128x80  10240     B      4  43.2       0.00      0.60     0.70          1009
checkbox   128x80  10240     B     16  42.7       0.10      0.60     0.70          1029
checkbox   128x80  10240     C      1  27.6       0.10      1.00     1.00          1328
checkbox   128x80  10240     C      2  23.7       0.00      1.40     1.50          1555
checkbox   128x80  10240     C      4  19.5       0.00      1.30     1.40          1565
checkbox   128x80  10240     C     16  19.1       0.00      1.30     1.40          1788
checkbox  160x100  16000     B      1  29.3       0.10      0.70     0.80          1451
checkbox  160x100  16000     B      2  26.8       0.10      0.70     0.80          1496
checkbox  160x100  16000     B      4  26.0       0.10      0.80     0.90          1525
checkbox  160x100  16000     B     16  25.8       0.10      0.80     0.80          1545
checkbox  160x100  16000     C      1  18.7       0.10      1.40     1.40          2067
checkbox  160x100  16000     C      2  14.1       0.10      1.80     1.90          2419
checkbox  160x100  16000     C      4  10.8       0.10      2.10     2.20          2427
checkbox  160x100  16000     C     16  11.8       0.10      2.00     2.00          2766

render ms / flush ms は JS の中だけの時間。fps が落ちているのに cost ms が小さいなら、
時間はブラウザ側の style 再計算と再描画に出ている。判断は fps を見る。
writes/frame がほぼ同じまま fps が変わるなら、原因は style の代入回数ではなく
大きさの種類（ネイティブ部品の再ラスタライズ）。
